"topic_id","current_stage","overall_status","last_updated","notes","research_approval","topic_approval","deep_research_approval","content_approval","seo_approval","publication_approval"
"TOPIC-347","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.964Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-348","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.967Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-349","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.971Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-351","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.974Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-352","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.980Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-353","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.984Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-355","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.988Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-356","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.992Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-357","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.996Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-358","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.000Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-359","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.004Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-360","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.008Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-361","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.012Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-362","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.015Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-365","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.019Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-367","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:02.023Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"RESEARCH-BATCH-2025-10-13","Master SEO Research","Research Completed","2025-10-13T09:56:34.998Z","Generated 4 content gaps using real Google data","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPICS-BATCH-2025-10-13","Topic Generation","Topics Generated","2025-10-13T08:20:08.417Z","Generated 50 strategic topics from 95 approved gaps","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-369","Publication","Content Published","2025-10-13T04:37:06.514Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-469","Publication","Content Published","2025-10-13T08:03:14.797Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-545","Content Creation","Content Drafted","2025-10-16T13:37:08.781Z","Draft ready for SEO optimization","Not Started","Not Started","Not Started","Pending","Approved","Published"
"RESEARCH-BATCH-2025-10-16","Master SEO Research","Research Completed","2025-10-16T14:03:45.424Z","Generated 4 content gaps using real Google data","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPICS-BATCH-2025-10-16","Topic Generation","Topics Generated","2025-10-16T14:07:21.502Z","Generated 50 strategic topics from 112 approved gaps","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-645","Publication","Content Published","2025-10-16T14:09:36.029Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"RESEARCH-BATCH-2025-10-17","Master SEO Research","Research Completed","2025-10-17T10:38:41.497Z","Generated 4 content gaps using real Google data","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPICS-BATCH-2025-10-17","Topic Generation","Topics Generated","2025-10-17T10:39:20.863Z","Generated 45 strategic topics from 116 approved gaps","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"RESEARCH-BATCH-2025-10-23","Master SEO Research","Research Completed","2025-10-23T16:10:04.214Z","Generated 2 content gaps using real Google data","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPICS-BATCH-2025-10-23","Topic Generation","Topics Generated","2025-10-23T16:10:52.065Z","Generated 50 strategic topics from 121 approved gaps","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-790","Publication","Content Published","2025-10-23T16:58:25.313Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-840","Deep Topic Research","Deep Research Completed","2025-10-23T16:11:33.944Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"RESEARCH-BATCH-2025-10-27","Master SEO Research","Research Completed","2025-10-27T09:07:52.129Z","Generated 10 content gaps using real Google data","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
